ParticipantID,TrialNumber,BlockNumber,Synchrony,ClipID,VideoFile,SoundFile,SoundCategory,SyncRating,Accuracy,RT,ConditionID,BlockDuration,ExperimentDuration,Condition
35,1,1,,40,1418_4Hz.avi,willow20_zero_4Hz.wav,willow,1,1,1.49226230000204,11,1.80883989,4.910507055,SyncTheta
35,2,2,,2,1371_4Hz.avi,ep7_zero_4Hz.wav,ep,2,0,0.870350199998938,11,1.80883989,4.910507055,SyncTheta
35,3,3,,23,1011_4Hz.avi,orch38_oneeighty_4Hz.wav,orch,1,0,0.774317799994606,11,1.80883989,4.910507055,AsyncTheta
35,4,,,7,1124_4Hz.avi,dar24_zero_4Hz.wav,dar,2,0,2.30380680000235,11,1.80883989,4.910507055,SyncTheta
35,5,,,28,1436_4Hz.avi,guitar31_oneeighty_4Hz.wav,guitar,2,1,2.69617239999934,11,1.80883989,4.910507055,AsyncTheta
35,6,,,26,1377_4Hz.avi,acoustic48_oneeighty_4Hz.wav,acoustic,1,0,0.696355399995809,11,1.80883989,4.910507055,AsyncTheta
35,7,,,44,1257_4Hz.avi,orch14_zero_4Hz.wav,orch,1,1,0.890462399998796,11,1.80883989,4.910507055,SyncTheta
35,8,,,45,1228_4Hz.avi,orch31_oneeighty_4Hz.wav,orch,1,0,0.557577400002629,11,1.80883989,4.910507055,AsyncTheta
35,9,,,14,1151_4Hz.avi,dar8_oneeighty_4Hz.wav,dar,1,0,1.11722869999357,11,1.80883989,4.910507055,AsyncTheta
35,10,,,32,1326_4Hz.avi,acoustic32_oneeighty_4Hz.wav,acoustic,2,1,0.753304700003355,11,1.80883989,4.910507055,AsyncTheta
35,11,,,6,1226_4Hz.avi,choir4_oneeighty_4Hz.wav,choir,1,0,2.48074600000109,11,1.80883989,4.910507055,AsyncTheta
35,12,,,33,1219_4Hz.avi,acoustic25_zero_4Hz.wav,acoustic,1,1,3.16655600001104,11,1.80883989,4.910507055,SyncTheta
35,13,,,25,1402_4Hz.avi,choir38_zero_4Hz.wav,choir,1,1,0.554786699998658,11,1.80883989,4.910507055,SyncTheta
35,14,,,8,1376_4Hz.avi,willow15_zero_4Hz.wav,willow,1,1,0.52845489999163,11,1.80883989,4.910507055,SyncTheta
35,15,,,9,1424_4Hz.avi,orch1_oneeighty_4Hz.wav,orch,1,0,0.57322409999324,11,1.80883989,4.910507055,AsyncTheta
35,16,,,48,1028_4Hz.avi,acoustic28_zero_4Hz.wav,acoustic,1,1,0.464794599989546,11,1.80883989,4.910507055,SyncTheta
35,1,,,37,1235_4Hz.avi,dar23_zero_4Hz.wav,dar,1,1,0.670471999997972,11,1.381682785,4.910507055,SyncTheta
35,2,,,4,1010_4Hz.avi,ep15_oneeighty_4Hz.wav,ep,2,1,0.433288900007028,11,1.381682785,4.910507055,AsyncTheta
35,3,,,5,1332_4Hz.avi,acoustic44_zero_4Hz.wav,acoustic,2,0,3.63840809999965,11,1.381682785,4.910507055,SyncTheta
35,4,,,35,1211_4Hz.avi,choir33_zero_4Hz.wav,choir,1,1,0.545999299996765,11,1.381682785,4.910507055,SyncTheta
