ParticipantID,TrialNumber,BlockNumber,Condition,ClipID,VideoFile,SoundFile,SoundCategory,Response,RT,Accuracy,ConditionID,Frame1,Frame2,Frame3,Frame4,CorrectKey,EncodingPosition,Rating,BlockDuration,ExperimentDuration,MemoryTestOnset,RunNumber,Age,Handedness,Sex
8,1,1,NoFlicker,21,1112_half_amp.avi,acoustic32_half_amp.wav,acoustic,3,10.7395892000004,0,8,21,4,1,58,1,5,1,5.99799032166667,NaN,7975.7881757,1,NaN,NaN,NaN
8,2,1,NoFlicker,10,1179_half_amp.avi,choir4_half_amp.wav,choir,2,3.63109660000009,1,8,38,10,11,69,2,2,4,5.99799032166667,NaN,7989.0715877,1,NaN,NaN,NaN
8,3,1,NoFlicker,38,1184_half_amp.avi,choir33_half_amp.wav,choir,1,4.60059799999999,0,8,69,10,38,11,3,7,1,5.99799032166667,NaN,7995.1216095,1,NaN,NaN,NaN
8,4,1,NoFlicker,2,1431_half_amp.avi,dar24_half_amp.wav,dar,2,4.42296649999935,0,8,40,14,2,64,3,9,5,5.99799032166667,NaN,8001.3049698,1,NaN,NaN,NaN
8,5,1,NoFlicker,11,1448_half_amp.avi,choir36_half_amp.wav,choir,1,8.46647200000007,1,8,11,10,69,38,1,11,4,5.99799032166667,NaN,8007.8717037,1,NaN,NaN,NaN
8,6,1,NoFlicker,1,1064_half_amp.avi,acoustic12_half_amp.wav,acoustic,2,7.0683209000008,0,8,1,21,58,4,1,1,3,5.99799032166667,NaN,8018.9550598,1,NaN,NaN,NaN
8,7,1,NoFlicker,40,1239_half_amp.avi,dar6_half_amp.wav,dar,2,6.92671620000056,0,8,14,64,40,2,3,8,2,5.99799032166667,NaN,8028.1217651,1,NaN,NaN,NaN
8,8,1,NoFlicker,42,1339_half_amp.avi,orch31_half_amp.wav,orch,4,3.87810219999938,1,8,91,28,17,42,4,6,2,5.99799032166667,NaN,8038.2551301,1,NaN,NaN,NaN
8,9,1,NoFlicker,17,1162_half_amp.avi,orch1_half_amp.wav,orch,1,3.82158359999994,1,8,17,91,42,28,1,12,4,5.99799032166667,NaN,8044.7717862,1,NaN,NaN,NaN
8,10,1,NoFlicker,28,1148_half_amp.avi,orch19_half_amp.wav,orch,1,4.86999250000008,0,8,91,42,17,28,4,14,4,5.99799032166667,NaN,8051.4718338,1,NaN,NaN,NaN
8,11,1,NoFlicker,91,1340_half_amp.avi,orch46_half_amp.wav,orch,3,7.79745660000026,1,8,28,17,91,42,3,4,1,5.99799032166667,NaN,8058.8385118,1,NaN,NaN,NaN
8,12,1,NoFlicker,14,1416_half_amp.avi,dar1_half_amp.wav,dar,1,6.74905419999959,1,8,14,40,64,2,1,10,2,5.99799032166667,NaN,8068.1385533,1,NaN,NaN,NaN
8,13,1,NoFlicker,4,1167_half_amp.avi,acoustic37_half_amp.wav,acoustic,4,4.81409230000008,0,8,1,4,21,58,2,16,5,5.99799032166667,NaN,8076.6552769,1,NaN,NaN,NaN
8,14,1,NoFlicker,64,1098_half_amp.avi,dar11_half_amp.wav,dar,1,4.97950320000018,1,8,64,2,14,40,1,15,1,5.99799032166667,NaN,8084.6053163,1,NaN,NaN,NaN
8,15,1,NoFlicker,58,1323_half_amp.avi,acoustic29_half_amp.wav,acoustic,3,5.91766129999996,1,8,4,21,58,1,3,3,5,5.99799032166667,NaN,8091.8886399,1,NaN,NaN,NaN
8,16,1,NoFlicker,69,1216_half_amp.avi,choir32_half_amp.wav,choir,2,4.87817140000061,1,8,11,69,38,10,2,13,3,5.99799032166667,NaN,8100.6220201,1,NaN,NaN,NaN
8,1,2,AsyncTheta,16,1442_4Hz.avi,ep34_oneeighty_4Hz.wav,ep,3,6.12847130000046,1,8,25,41,16,87,3,8,1,4.98873132166667,NaN,8284.9728603,1,NaN,NaN,NaN
8,2,2,AsyncTheta,46,1210_4Hz.avi,guitar48_oneeighty_4Hz.wav,guitar,2,7.7882626999999,0,8,77,7,59,46,4,6,1,4.98873132166667,NaN,8294.2395171,1,NaN,NaN,NaN
8,3,2,AsyncTheta,77,1008_4Hz.avi,guitar42_oneeighty_4Hz.wav,guitar,1,6.35764740000013,0,8,59,46,7,77,4,9,3,4.98873132166667,NaN,8304.222911,1,NaN,NaN,NaN
8,4,2,AsyncTheta,51,1331_4Hz.avi,synth47_oneeighty_4Hz.wav,synth,2,2.93538350000017,0,8,51,61,35,89,1,4,2,4.98873132166667,NaN,8313.6395571,1,NaN,NaN,NaN
8,5,2,AsyncTheta,7,1017_4Hz.avi,guitar47_oneeighty_4Hz.wav,guitar,3,5.84131700000034,1,8,46,59,7,77,3,12,4,4.98873132166667,NaN,8318.3729174,1,NaN,NaN,NaN
8,6,2,AsyncTheta,25,1094_4Hz.avi,ep15_oneeighty_4Hz.wav,ep,3,3.85244579999926,1,8,16,87,25,41,3,5,4,4.98873132166667,NaN,8326.4063138,1,NaN,NaN,NaN
8,7,2,AsyncTheta,61,1207_4Hz.avi,synth46_oneeighty_4Hz.wav,synth,4,4.12378360000002,1,8,89,35,51,61,4,2,4,4.98873132166667,NaN,8332.9396408,1,NaN,NaN,NaN
8,8,2,AsyncTheta,75,1040_4Hz.avi,willow17_oneeighty_4Hz.wav,willow,3,4.7956221000004,0,8,32,75,48,22,2,3,5,4.98873132166667,NaN,8339.1730004,1,NaN,NaN,NaN
8,9,2,AsyncTheta,32,1360_4Hz.avi,willow10_oneeighty_4Hz.wav,willow,1,7.84742950000145,0,8,48,22,75,32,4,11,3,4.98873132166667,NaN,8347.1397009,1,NaN,NaN,NaN
8,10,2,AsyncTheta,48,1021_4Hz.avi,willow12_oneeighty_4Hz.wav,willow,4,5.30681129999903,0,8,22,48,32,75,2,13,2,4.98873132166667,NaN,8356.6064107,1,NaN,NaN,NaN
8,11,2,AsyncTheta,22,1212_4Hz.avi,willow20_oneeighty_4Hz.wav,willow,3,3.56064940000033,0,8,22,75,32,48,1,1,4,4.98873132166667,NaN,8364.656473,1,NaN,NaN,NaN
8,12,2,AsyncTheta,35,1039_4Hz.avi,synth5_oneeighty_4Hz.wav,synth,3,4.65344170000026,0,8,89,51,61,35,4,15,4,4.98873132166667,NaN,8370.8064712,1,NaN,NaN,NaN
8,13,2,AsyncTheta,41,1132_4Hz.avi,ep10_oneeighty_4Hz.wav,ep,4,5.97184169999855,1,8,87,25,16,41,4,10,4,4.98873132166667,NaN,8377.0565208,1,NaN,NaN,NaN
8,14,2,AsyncTheta,89,1393_4Hz.avi,synth41_oneeighty_4Hz.wav,synth,1,7.39748580000014,0,8,51,35,89,61,3,16,1,4.98873132166667,NaN,8384.7898573,1,NaN,NaN,NaN
8,15,2,AsyncTheta,87,1142_4Hz.avi,ep3_oneeighty_4Hz.wav,ep,1,3.7250866000013,1,8,87,41,25,16,1,7,2,4.98873132166667,NaN,8394.4065676,1,NaN,NaN,NaN
8,16,2,AsyncTheta,59,1346_4Hz.avi,guitar33_oneeighty_4Hz.wav,guitar,4,3.55368459999954,1,8,77,7,46,59,4,14,3,4.98873132166667,NaN,8401.3565917,1,NaN,NaN,NaN
8,1,3,SyncTheta,113,1037_4Hz.avi,acoustic23_zero_4Hz.wav,acoustic,2,9.56237359999977,0,8,104,133,169,113,4,15,5,4.745684925,NaN,8559.1739125,1,NaN,NaN,NaN
8,2,3,SyncTheta,97,1368_4Hz.avi,choir30_zero_4Hz.wav,choir,1,6.71288319999985,0,8,160,97,124,139,2,5,4,4.745684925,NaN,8571.5239708,1,NaN,NaN,NaN
8,3,3,SyncTheta,139,1192_4Hz.avi,choir5_zero_4Hz.wav,choir,1,5.79087470000013,1,8,139,160,97,124,1,6,1,4.745684925,NaN,8581.1573749,1,NaN,NaN,NaN
8,4,3,SyncTheta,116,1420_4Hz.avi,dar18_zero_4Hz.wav,dar,2,6.26737710000089,1,8,162,116,147,136,2,9,2,4.745684925,NaN,8589.8074052,1,NaN,NaN,NaN
8,5,3,SyncTheta,160,1421_4Hz.avi,choir13_zero_4Hz.wav,choir,1,6.20531280000068,0,8,139,97,124,160,4,8,4,4.745684925,NaN,8598.3407433,1,NaN,NaN,NaN
8,6,3,SyncTheta,133,1341_4Hz.avi,acoustic14_zero_4Hz.wav,acoustic,2,3.59352370000124,1,8,104,133,169,113,2,3,5,4.745684925,NaN,8606.6908209,1,NaN,NaN,NaN
8,7,3,SyncTheta,147,1304_4Hz.avi,dar10_zero_4Hz.wav,dar,4,3.35707300000104,1,8,162,136,116,147,4,2,4,4.745684925,NaN,8612.1741331,1,NaN,NaN,NaN
8,8,3,SyncTheta,158,1206_4Hz.avi,orch6_zero_4Hz.wav,orch,2,8.9852391000004,0,8,158,145,141,174,1,4,1,4.745684925,NaN,8616.9241545,1,NaN,NaN,NaN
8,9,3,SyncTheta,141,1401_4Hz.avi,orch12_zero_4Hz.wav,orch,4,8.10987569999998,1,8,158,174,145,141,4,11,5,4.745684925,NaN,8629.1408687,1,NaN,NaN,NaN
8,10,3,SyncTheta,174,1119_4Hz.avi,orch45_zero_4Hz.wav,orch,4,6.54538299999876,1,8,145,158,141,174,4,14,3,4.745684925,NaN,8638.9075883,1,NaN,NaN,NaN
8,11,3,SyncTheta,145,1352_4Hz.avi,orch39_zero_4Hz.wav,orch,1,6.63448470000003,0,8,174,141,158,145,4,1,4,4.745684925,NaN,8648.6242874,1,NaN,NaN,NaN
8,12,3,SyncTheta,136,1175_4Hz.avi,dar4_zero_4Hz.wav,dar,2,5.00838119999935,0,8,147,162,116,136,4,10,4,4.745684925,NaN,8657.9243296,1,NaN,NaN,NaN
8,13,3,SyncTheta,169,1083_4Hz.avi,acoustic43_zero_4Hz.wav,acoustic,2,3.31906469999922,0,8,104,133,169,113,3,16,5,4.745684925,NaN,8665.9743574,1,NaN,NaN,NaN
8,14,3,SyncTheta,162,1358_4Hz.avi,dar7_zero_4Hz.wav,dar,3,5.18565490000037,0,8,162,116,136,147,1,13,4,4.745684925,NaN,8670.8077149,1,NaN,NaN,NaN
8,15,3,SyncTheta,104,1111_4Hz.avi,acoustic31_zero_4Hz.wav,acoustic,3,4.04293390000021,0,8,133,113,169,104,4,7,3,4.745684925,NaN,8679.3411142,1,NaN,NaN,NaN
8,16,3,SyncTheta,124,1183_4Hz.avi,choir24_zero_4Hz.wav,choir,4,3.42343789999904,0,8,97,124,139,160,2,12,1,4.745684925,NaN,8686.307778,1,NaN,NaN,NaN
8,1,4,SyncDelta,123,1067_1.7Hz.avi,ep37_zero_1.7Hz.wav,ep,3,6.503999999999,1,8,180,138,123,132,3,5,4,4.440849935,NaN,8838.6250801,1,NaN,NaN,NaN
8,2,4,SyncDelta,183,1374_1.7Hz.avi,guitar16_zero_1.7Hz.wav,guitar,1,5.59412639999937,1,8,183,151,115,146,1,2,2,4.440849935,NaN,8847.7584475,1,NaN,NaN,NaN
8,3,4,SyncDelta,115,1370_1.7Hz.avi,guitar9_zero_1.7Hz.wav,guitar,3,6.85051220000059,0,8,115,151,146,183,1,3,3,4.440849935,NaN,8856.4584856,1,NaN,NaN,NaN
8,4,4,SyncDelta,125,1050_1.7Hz.avi,synth36_zero_1.7Hz.wav,synth,3,5.56864069999938,1,8,128,127,125,184,3,7,2,4.440849935,NaN,8865.6419514,1,NaN,NaN,NaN
8,5,4,SyncDelta,151,1259_1.7Hz.avi,guitar43_zero_1.7Hz.wav,guitar,2,8.51086049999867,1,8,146,151,115,183,2,14,5,4.440849935,NaN,8874.0586328,1,NaN,NaN,NaN
8,6,4,SyncDelta,138,1149_1.7Hz.avi,ep2_zero_1.7Hz.wav,ep,4,3.51040229999853,0,8,180,123,138,132,3,1,5,4.440849935,NaN,8885.5753557,1,NaN,NaN,NaN
8,7,4,SyncDelta,127,1411_1.7Hz.avi,synth28_zero_1.7Hz.wav,synth,2,2.13297179999972,1,8,184,127,125,128,2,6,5,4.440849935,NaN,8892.2919655,1,NaN,NaN,NaN
