"","Participant","Sync","Frequency","AvgCorrect","AvgRT"
"83",1014,"Synchronous","10.4721 Hz",0.8125,4.25506061470878
"84",1014,"Synchronous","4 Hz",0.6875,4.42638225353221
"85",1015,"Asynchronous","1.652 Hz",0.3125,5.40452172086953
"86",1015,"Asynchronous","10.4721 Hz",0.3125,5.80261400981544
"87",1015,"Asynchronous","4 Hz",0.1875,5.25992921202851
"88",1015,"Synchronous","1.652 Hz",0.375,5.18710664544415
"89",1015,"Synchronous","10.4721 Hz",0.3125,5.80875243482296
"90",1015,"Synchronous","4 Hz",0.375,5.27715112299484
"91",1016,"Asynchronous","1.652 Hz",0.25,9.24004748855441
"92",1016,"Asynchronous","10.4721 Hz",0.5,9.30737784464145
"93",1016,"Asynchronous","4 Hz",0.4375,8.3017771739469
"94",1016,"Synchronous","1.652 Hz",0.375,9.0762361671259
"95",1016,"Synchronous","10.4721 Hz",0.5625,7.43981383029313
"96",1016,"Synchronous","4 Hz",0.5625,10.5825536675147
"97",1017,"Asynchronous","1.652 Hz",0.1875,3.93361793965232
"98",1017,"Asynchronous","10.4721 Hz",0.625,4.23343484962606
"99",1017,"Asynchronous","4 Hz",0.25,3.86060026167252
"100",1017,"Synchronous","1.652 Hz",0.5625,3.48892977680225
"101",1017,"Synchronous","10.4721 Hz",0.1875,4.1336348208788
"102",1017,"Synchronous","4 Hz",0.1875,4.02709880779003
"103",1018,"Asynchronous","1.652 Hz",0.5,4.87897071136104
"104",1018,"Asynchronous","10.4721 Hz",0.5625,5.57013119140174
"105",1018,"Asynchronous","4 Hz",0.3125,5.3101462116756
"106",1018,"Synchronous","1.652 Hz",0.375,5.01933298916992
"107",1018,"Synchronous","10.4721 Hz",0.625,5.1221536789526
"108",1018,"Synchronous","4 Hz",0.4375,5.37091098046221
"109",1019,"Asynchronous","1.652 Hz",0.375,4.55352204565861
"110",1019,"Asynchronous","10.4721 Hz",0.4375,4.45266831725894
"111",1019,"Asynchronous","4 Hz",0.375,3.99586706058471
"112",1019,"Synchronous","1.652 Hz",0.375,4.08011881232232
"113",1019,"Synchronous","10.4721 Hz",0.375,5.19457936305844
"114",1019,"Synchronous","4 Hz",0.375,4.29094264274318
"115",1020,"Asynchronous","1.652 Hz",0.1875,4.357929186197
"116",1020,"Asynchronous","10.4721 Hz",0.375,4.68005310983426
"117",1020,"Asynchronous","4 Hz",0.375,4.47464953525196
"118",1020,"Synchronous","1.652 Hz",0.5,4.78875279932254
"119",1020,"Synchronous","10.4721 Hz",0.3125,5.03801697162998
"120",1020,"Synchronous","4 Hz",0.375,3.92487226257799
"121",1021,"Asynchronous","1.652 Hz",0.4375,4.3298997223319
"122",1021,"Asynchronous","10.4721 Hz",0.5,4.37829763169429
"123",1021,"Asynchronous","4 Hz",0.4375,4.93774750208104
"124",1021,"Synchronous","1.652 Hz",0.375,4.41994887859619
"125",1021,"Synchronous","10.4721 Hz",0.5625,3.847107955502
"126",1021,"Synchronous","4 Hz",0.6875,5.35023383179214
"127",1022,"Asynchronous","1.652 Hz",0.3125,11.8298081660032
"128",1022,"Asynchronous","10.4721 Hz",0.3125,7.37052026713354
"129",1022,"Asynchronous","4 Hz",0.5,8.56124273700697
"130",1022,"Synchronous","1.652 Hz",0.5,8.38345733023016
"131",1022,"Synchronous","10.4721 Hz",0.3125,8.97770666411816
"132",1022,"Synchronous","4 Hz",0.3125,8.53591560939821
"133",1023,"Asynchronous","1.652 Hz",0.375,6.17370789542474
"134",1023,"Asynchronous","10.4721 Hz",0.25,5.54889864877623
"135",1023,"Asynchronous","4 Hz",0.625,6.30823024489655
"136",1023,"Synchronous","1.652 Hz",0.375,4.95472883475304
"137",1023,"Synchronous","10.4721 Hz",0.4375,4.97385958123778
"138",1023,"Synchronous","4 Hz",0.5625,6.68359652684012
"139",1024,"Asynchronous","1.652 Hz",0.4375,3.81243876121152
"140",1024,"Asynchronous","10.4721 Hz",0.4375,3.77461967425916
"141",1024,"Asynchronous","4 Hz",0.375,4.56913586289011
"142",1024,"Synchronous","1.652 Hz",0.25,3.88789416200598
"143",1024,"Synchronous","10.4721 Hz",0.25,3.53956846761139
"144",1024,"Synchronous","4 Hz",0.4375,3.64821269125969
