ParticipantID,TrialNumber,BlockNumber,Synchrony,ClipID,VideoFile,SoundFile,SoundCategory,SyncRating,Accuracy,RT,ConditionID,BlockDuration,ExperimentDuration,Condition
32,1,1,,40,1418_4Hz.avi,willow20_oneeighty_4Hz.wav,willow,1,0,2.5397057000082,32,14.957130045,18.9485400616667,AsyncTheta
32,2,1,,2,1371_4Hz.avi,ep7_oneeighty_4Hz.wav,ep,2,1,0.930581299995538,32,14.957130045,18.9485400616667,AsyncTheta
32,3,1,,23,1011_4Hz.avi,orch38_oneeighty_4Hz.wav,orch,2,1,0.932237899993197,32,14.957130045,18.9485400616667,AsyncTheta
32,4,1,,7,1124_4Hz.avi,dar24_oneeighty_4Hz.wav,dar,1,0,0.941542599990498,32,14.957130045,18.9485400616667,AsyncTheta
32,5,1,,28,1436_4Hz.avi,guitar31_oneeighty_4Hz.wav,guitar,2,1,0.62972009999794,32,14.957130045,18.9485400616667,AsyncTheta
32,6,1,,26,1377_4Hz.avi,acoustic48_oneeighty_4Hz.wav,acoustic,1,0,1.91723340000317,32,14.957130045,18.9485400616667,AsyncTheta
32,7,1,,44,1257_4Hz.avi,orch14_oneeighty_4Hz.wav,orch,2,1,1.06439640000463,32,14.957130045,18.9485400616667,AsyncTheta
32,8,1,,45,1228_4Hz.avi,orch31_oneeighty_4Hz.wav,orch,2,1,0.77419799999916,32,14.957130045,18.9485400616667,AsyncTheta
32,9,1,,14,1151_4Hz.avi,dar8_oneeighty_4Hz.wav,dar,1,0,0.945058899989817,32,14.957130045,18.9485400616667,AsyncTheta
32,10,1,,32,1326_4Hz.avi,acoustic32_oneeighty_4Hz.wav,acoustic,1,0,1.6607282999903,32,14.957130045,18.9485400616667,AsyncTheta
32,11,1,,6,1226_4Hz.avi,choir4_oneeighty_4Hz.wav,choir,1,0,0.59058649999497,32,14.957130045,18.9485400616667,AsyncTheta
32,12,1,,33,1219_4Hz.avi,acoustic25_oneeighty_4Hz.wav,acoustic,1,0,0.629693299997598,32,14.957130045,18.9485400616667,AsyncTheta
32,1,2,,25,1402_4Hz.avi,choir38_zero_4Hz.wav,choir,2,0,0.661319599996204,32,1.075378265,18.9485400616667,SyncTheta
32,2,2,,8,1376_4Hz.avi,willow15_zero_4Hz.wav,willow,1,1,0.814458599998034,32,1.075378265,18.9485400616667,SyncTheta
32,3,2,,9,1424_4Hz.avi,orch1_zero_4Hz.wav,orch,1,1,0.936063600005582,32,1.075378265,18.9485400616667,SyncTheta
32,4,2,,48,1028_4Hz.avi,acoustic28_zero_4Hz.wav,acoustic,2,0,0.664948899997398,32,1.075378265,18.9485400616667,SyncTheta
32,5,2,,37,1235_4Hz.avi,dar23_zero_4Hz.wav,dar,2,0,0.618453799994313,32,1.075378265,18.9485400616667,SyncTheta
32,6,2,,4,1010_4Hz.avi,ep15_zero_4Hz.wav,ep,1,1,0.581643099998473,32,1.075378265,18.9485400616667,SyncTheta
32,7,2,,5,1332_4Hz.avi,acoustic44_zero_4Hz.wav,acoustic,2,0,0.768285199999809,32,1.075378265,18.9485400616667,SyncTheta
32,8,2,,35,1211_4Hz.avi,choir33_zero_4Hz.wav,choir,2,0,0.688193499998306,32,1.075378265,18.9485400616667,SyncTheta
32,9,2,,30,1282_4Hz.avi,dar1_zero_4Hz.wav,dar,2,0,0.619927599997027,32,1.075378265,18.9485400616667,SyncTheta
32,10,2,,39,1088_4Hz.avi,acoustic47_zero_4Hz.wav,acoustic,1,1,0.731182799994713,32,1.075378265,18.9485400616667,SyncTheta
32,11,2,,21,1291_4Hz.avi,acoustic11_zero_4Hz.wav,acoustic,1,1,0.481870199990226,32,1.075378265,18.9485400616667,SyncTheta
32,12,2,,19,1188_4Hz.avi,choir7_zero_4Hz.wav,choir,2,0,0.832818699986092,32,1.075378265,18.9485400616667,SyncTheta
32,1,3,,47,1261_4Hz.avi,willow10_oneeighty_4Hz.wav,willow,2,1,1.88221579999663,32,1.12022741666667,18.9485400616667,AsyncTheta
32,2,3,,15,1302_4Hz.avi,synth25_oneeighty_4Hz.wav,synth,2,1,0.435757400002331,32,1.12022741666667,18.9485400616667,AsyncTheta
32,3,3,,38,1068_4Hz.avi,orch29_oneeighty_4Hz.wav,orch,2,1,0.363379400005215,32,1.12022741666667,18.9485400616667,AsyncTheta
32,4,3,,11,1001_4Hz.avi,dar22_oneeighty_4Hz.wav,dar,2,1,0.348787800001446,32,1.12022741666667,18.9485400616667,AsyncTheta
32,5,3,,41,1092_4Hz.avi,guitar37_oneeighty_4Hz.wav,guitar,2,1,1.55669959999796,32,1.12022741666667,18.9485400616667,AsyncTheta
32,6,3,,10,1100_4Hz.avi,ep10_oneeighty_4Hz.wav,ep,2,1,0.594381100003375,32,1.12022741666667,18.9485400616667,AsyncTheta
32,7,3,,22,1351_4Hz.avi,acoustic1_oneeighty_4Hz.wav,acoustic,1,0,0.52395930000057,32,1.12022741666667,18.9485400616667,AsyncTheta
32,8,3,,16,1285_4Hz.avi,acoustic37_oneeighty_4Hz.wav,acoustic,2,1,0.574740500000189,32,1.12022741666667,18.9485400616667,AsyncTheta
32,9,3,,18,1446_4Hz.avi,synth5_oneeighty_4Hz.wav,synth,1,0,1.06493019999471,32,1.12022741666667,18.9485400616667,AsyncTheta
32,10,3,,29,1281_4Hz.avi,ep34_oneeighty_4Hz.wav,ep,1,0,0.619866900000488,32,1.12022741666667,18.9485400616667,AsyncTheta
32,11,3,,24,1251_4Hz.avi,willow16_oneeighty_4Hz.wav,willow,2,1,0.306021100012003,32,1.12022741666667,18.9485400616667,AsyncTheta
32,12,3,,36,1307_4Hz.avi,dar13_oneeighty_4Hz.wav,dar,1,0,0.792269100013073,32,1.12022741666667,18.9485400616667,AsyncTheta
32,1,4,,12,1102_4Hz.avi,dar2_zero_4Hz.wav,dar,1,1,0.458794300007867,32,1.26806077833333,18.9485400616667,SyncTheta
32,2,4,,17,1043_4Hz.avi,ep8_zero_4Hz.wav,ep,2,0,0.698427900002571,32,1.26806077833333,18.9485400616667,SyncTheta
32,3,4,,34,1409_4Hz.avi,willow12_zero_4Hz.wav,willow,2,0,0.647827699998743,32,1.26806077833333,18.9485400616667,SyncTheta
32,4,4,,13,1075_4Hz.avi,orch19_zero_4Hz.wav,orch,1,1,1.45913079999445,32,1.26806077833333,18.9485400616667,SyncTheta
32,5,4,,20,1245_4Hz.avi,guitar48_zero_4Hz.wav,guitar,2,0,0.900581399997463,32,1.26806077833333,18.9485400616667,SyncTheta
32,6,4,,43,1438_4Hz.avi,choir18_zero_4Hz.wav,choir,1,1,0.641729400012991,32,1.26806077833333,18.9485400616667,SyncTheta
32,7,4,,31,1246_4Hz.avi,guitar47_zero_4Hz.wav,guitar,2,0,2.02797850000206,32,1.26806077833333,18.9485400616667,SyncTheta
32,8,4,,1,1267_4Hz.avi,dar6_zero_4Hz.wav,dar,1,1,4.11431509999966,32,1.26806077833333,18.9485400616667,SyncTheta
32,9,4,,27,1120_4Hz.avi,choir36_zero_4Hz.wav,choir,2,0,1.03324969999085,32,1.26806077833333,18.9485400616667,SyncTheta
32,10,4,,46,1400_4Hz.avi,ep44_zero_4Hz.wav,ep,1,1,1.08719310000015,32,1.26806077833333,18.9485400616667,SyncTheta
32,11,4,,42,1056_4Hz.avi,acoustic12_zero_4Hz.wav,acoustic,1,1,4.04688090000127,32,1.26806077833333,18.9485400616667,SyncTheta
32,12,4,,3,1194_4Hz.avi,willow13_zero_4Hz.wav,willow,1,1,2.04240000000573,32,1.26806077833333,18.9485400616667,SyncTheta
